user_id,manager_id,location_x,location_y,user_type,economic_pref,comfort_pref,environmental_pref
user_1_1,manager_1,2.3,3.5,prosumer,0.45,0.35,0.20
user_1_2,manager_1,2.8,3.0,consumer,0.50,0.30,0.20
user_1_3,manager_1,2.1,3.8,consumer,0.40,0.40,0.20
user_1_4,manager_1,2.6,2.9,prosumer,0.35,0.45,0.20
user_1_5,manager_1,2.9,3.4,consumer,0.45,0.35,0.20
user_1_6,manager_1,2.4,3.2,consumer,0.40,0.40,0.20
user_2_1,manager_2,5.5,7.3,prosumer,0.40,0.40,0.20
user_2_2,manager_2,6.1,6.9,consumer,0.50,0.30,0.20
user_2_3,manager_2,5.7,7.5,consumer,0.45,0.35,0.20
user_2_4,manager_2,6.0,6.8,prosumer,0.35,0.45,0.20
user_2_5,manager_2,5.4,7.2,consumer,0.40,0.40,0.20
user_2_6,manager_2,5.9,7.0,consumer,0.45,0.35,0.20
user_2_7,manager_2,5.6,7.4,consumer,0.50,0.30,0.20
user_2_8,manager_2,6.2,6.7,prosumer,0.35,0.45,0.20
user_2_9,manager_2,5.8,7.1,consumer,0.40,0.40,0.20
user_2_10,manager_2,5.3,7.3,consumer,0.45,0.35,0.20
user_3_1,manager_3,8.0,4.8,consumer,0.45,0.35,0.20
user_3_2,manager_3,8.4,4.4,prosumer,0.40,0.40,0.20
user_3_3,manager_3,8.1,4.9,consumer,0.50,0.30,0.20
user_3_4,manager_3,8.3,4.3,consumer,0.45,0.35,0.20
user_3_5,manager_3,7.9,4.7,consumer,0.40,0.40,0.20
user_3_6,manager_3,8.5,4.5,prosumer,0.35,0.45,0.20
user_3_7,manager_3,8.2,4.8,consumer,0.45,0.35,0.20
user_3_8,manager_3,8.0,4.4,consumer,0.50,0.30,0.20
user_4_1,manager_4,11.3,9.5,consumer,0.50,0.30,0.20
user_4_2,manager_4,11.7,9.1,prosumer,0.40,0.40,0.20
user_4_3,manager_4,11.4,9.6,consumer,0.45,0.35,0.20
user_4_4,manager_4,11.8,9.0,consumer,0.50,0.30,0.20
user_4_5,manager_4,11.2,9.4,prosumer,0.35,0.45,0.20
user_4_6,manager_4,11.6,9.2,consumer,0.40,0.40,0.20
user_4_7,manager_4,11.5,9.3,consumer,0.45,0.35,0.20
user_4_8,manager_4,11.9,8.9,consumer,0.50,0.30,0.20
user_4_9,manager_4,11.1,9.5,prosumer,0.35,0.45,0.20
user_4_10,manager_4,11.7,9.1,consumer,0.40,0.40,0.20
user_4_11,manager_4,11.4,9.4,consumer,0.45,0.35,0.20
user_4_12,manager_4,11.8,9.2,consumer,0.50,0.30,0.20
