device_id,user_id,device_type,capacity,max_power,efficiency,initial_state,param1,param2,param3,can_interrupt,priority
battery_1_1,user_1_1,battery,10.5,5.2,0.95,0.6,0.1,0.9,10500,1,3
battery_1_2,user_1_2,battery,8.3,4.1,0.93,0.5,0.1,0.9,8300,1,3
battery_1_3,user_1_4,battery,12.0,6.0,0.96,0.55,0.1,0.9,12000,1,3
battery_1_5,user_1_5,battery,9.8,4.9,0.94,0.6,0.1,0.9,9800,1,3
battery_1_6,user_1_6,battery,11.2,5.6,0.95,0.5,0.1,0.9,11200,1,3
battery_2_1,user_2_1,battery,10.0,5.0,0.95,0.6,0.1,0.9,10000,1,3
battery_2_2,user_2_2,battery,9.5,4.7,0.94,0.55,0.1,0.9,9500,1,3
battery_2_3,user_2_3,battery,11.5,5.7,0.96,0.5,0.1,0.9,11500,1,3
battery_2_4,user_2_4,battery,8.8,4.4,0.93,0.6,0.1,0.9,8800,1,3
battery_2_5,user_2_5,battery,10.3,5.1,0.95,0.55,0.1,0.9,10300,1,3
battery_2_6,user_2_6,battery,9.2,4.6,0.94,0.6,0.1,0.9,9200,1,3
battery_2_7,user_2_7,battery,11.0,5.5,0.95,0.5,0.1,0.9,11000,1,3
battery_2_9,user_2_9,battery,10.8,5.4,0.95,0.55,0.1,0.9,10800,1,3
battery_2_10,user_2_10,battery,9.0,4.5,0.94,0.6,0.1,0.9,9000,1,3
battery_3_1,user_3_1,battery,10.2,5.1,0.95,0.6,0.1,0.9,10200,1,3
battery_3_2,user_3_2,battery,11.8,5.9,0.96,0.55,0.1,0.9,11800,1,3
battery_3_3,user_3_3,battery,8.5,4.2,0.93,0.5,0.1,0.9,8500,1,3
battery_3_4,user_3_4,battery,10.5,5.2,0.95,0.6,0.1,0.9,10500,1,3
battery_3_5,user_3_5,battery,9.7,4.8,0.94,0.55,0.1,0.9,9700,1,3
battery_3_6,user_3_6,battery,11.3,5.6,0.95,0.5,0.1,0.9,11300,1,3
battery_3_8,user_3_8,battery,10.0,5.0,0.95,0.6,0.1,0.9,10000,1,3
battery_4_1,user_4_1,battery,9.8,4.9,0.94,0.55,0.1,0.9,9800,1,3
battery_4_2,user_4_2,battery,11.5,5.7,0.96,0.5,0.1,0.9,11500,1,3
battery_4_3,user_4_3,battery,10.3,5.1,0.95,0.6,0.1,0.9,10300,1,3
battery_4_4,user_4_4,battery,8.7,4.3,0.93,0.55,0.1,0.9,8700,1,3
battery_4_5,user_4_5,battery,10.8,5.4,0.95,0.5,0.1,0.9,10800,1,3
battery_4_7,user_4_7,battery,9.5,4.7,0.94,0.6,0.1,0.9,9500,1,3
battery_4_8,user_4_8,battery,11.0,5.5,0.95,0.55,0.1,0.9,11000,1,3
battery_4_9,user_4_9,battery,10.2,5.1,0.95,0.5,0.1,0.9,10200,1,3
battery_4_10,user_4_10,battery,9.3,4.6,0.94,0.6,0.1,0.9,9300,1,3
battery_4_11,user_4_11,battery,11.2,5.6,0.95,0.55,0.1,0.9,11200,1,3
battery_4_12,user_4_12,battery,10.5,5.2,0.95,0.5,0.1,0.9,10500,1,3
ev_1_2,user_1_2,ev,60.0,7.0,0.90,0.5,0.2,0.95,19.0,1,2
ev_1_3,user_1_3,ev,50.0,6.0,0.88,0.4,0.2,0.95,20.0,1,2
ev_1_5,user_1_5,ev,65.0,7.5,0.91,0.6,0.2,0.95,18.5,1,2
ev_2_2,user_2_2,ev,55.0,6.5,0.89,0.5,0.2,0.95,19.5,1,2
ev_2_5,user_2_5,ev,70.0,8.0,0.92,0.55,0.2,0.95,18.0,1,2
ev_2_7,user_2_7,ev,60.0,7.0,0.90,0.45,0.2,0.95,20.5,1,2
ev_2_8,user_2_8,ev,58.0,6.8,0.89,0.6,0.2,0.95,19.0,1,2
ev_2_10,user_2_10,ev,62.0,7.2,0.90,0.5,0.2,0.95,18.5,1,2
